Package,Class,Name,COMP,NOA,VDEC,VREF,HLTH,HVOC,HVOL,HDIF,HEFF,HBUG,CAST,NOPR,NAND,CREF,XMET,LMET,EXCR,EXCT,MOD,NLOC
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,WorldGuardPlayerListener,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,1,3
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,registerEvents,1,0,1,2,3.0,3.0,4.754887502163469,0.0,0.0,0.0015849625007211565,0,1,2,4,3,0,0,0,1,3
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,onPlayerGameModeChange,4,1,6,7,15.0,11.0,51.89147427955947,2.0,103.78294855911894,0.01729715809318649,1,5,10,14,18,0,0,0,1,11
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,onPlayerJoin,6,1,7,9,23.0,13.0,85.11011351724513,4.0,340.4404540689805,0.028370037839081708,1,8,15,19,22,0,0,0,1,20
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,onPlayerChat,6,1,4,5,9.0,7.0,25.26619429851844,1.0,25.26619429851844,0.008422064766172813,1,3,6,13,19,0,0,0,1,13
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,onPlayerLogin,5,1,6,7,18.0,12.0,64.52932501298082,3.0,193.58797503894246,0.02150977500432694,1,6,12,11,15,0,0,0,1,16
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,onPlayerInteract,6,1,7,8,18.0,10.0,59.794705707972525,3.0,179.38411712391758,0.019931568569324175,0,6,12,13,16,2,0,0,1,16
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,handleBlockRightClick,14,1,16,15,47.0,25.0,218.26124091941205,8.0,1746.0899273552964,0.07275374697313734,1,16,31,18,34,0,0,0,1,35
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,handlePhysicalInteract,3,1,7,8,18.0,11.0,62.26976913547136,3.0,186.80930740641406,0.020756589711823786,0,6,12,8,8,0,0,0,1,11
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,onPlayerRespawn,3,1,8,9,21.0,13.0,77.70923408096293,3.0,233.1277022428888,0.025903078026987644,1,7,14,15,12,0,0,0,1,11
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,onItemHeldChange,4,1,6,7,15.0,10.0,49.82892142331044,2.0,99.65784284662088,0.016609640474436815,0,5,10,11,15,0,0,0,1,11
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,onPlayerTeleport,8,1,8,9,21.0,15.0,82.0447025077789,3.0,246.1341075233367,0.02734823416925963,0,7,14,21,23,0,0,0,1,20
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,onPlayerPortal,9,1,10,11,30.0,18.0,125.09775004326937,5.0,625.4887502163468,0.04169925001442312,0,10,20,22,29,0,0,0,1,26
com.sk89q.worldguard.bukkit.listener,WorldGuardPlayerListener,onPlayerCommandPreprocess,5,1,10,11,27.0,16.0,108.0,4.0,432.0,0.036,2,9,18,20,23,0,0,0,1,20
com.sk89q.worldguard.bukkit.listener,PlayerMoveListener$1,PlayerMoveListener$1,1,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,0,1
com.sk89q.worldguard.bukkit.listener,PlayerMoveListener$1,run,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,3,0,0,0,1,2
com.sk89q.worldguard.bukkit.listener,PlayerMoveListener,PlayerMoveListener,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,1,3
com.sk89q.worldguard.bukkit.listener,PlayerMoveListener,registerEvents,2,0,1,2,3.0,3.0,4.754887502163469,0.0,0.0,0.0015849625007211565,0,1,2,5,4,0,0,0,1,4
com.sk89q.worldguard.bukkit.listener,PlayerMoveListener,onPlayerRespawn,1,1,3,4,6.0,5.0,13.931568569324174,1.0,13.931568569324174,0.004643856189774725,0,2,4,8,5,0,0,0,1,4
com.sk89q.worldguard.bukkit.listener,PlayerMoveListener,onVehicleEnter,3,1,4,5,10.0,7.0,28.07354922057604,2.0,56.14709844115208,0.009357849740192013,1,4,6,10,7,0,0,0,1,7
com.sk89q.worldguard.bukkit.listener,PlayerMoveListener,onPlayerMove,5,1,6,7,25.0,14.0,95.18387305144009,4.0,380.73549220576035,0.03172795768381336,0,9,16,15,28,0,0,0,1,24
com.sk89q.worldguard.bukkit.listener.debounce.legacy,BlockEntityEventDebounce$Key,BlockEntityEventDebounce$Key,1,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,2,0,0,0,1,5
com.sk89q.worldguard.bukkit.listener.debounce.legacy,BlockEntityEventDebounce$Key,equals,7,1,2,3,3.0,3.0,4.754887502163469,0.0,0.0,0.0015849625007211565,1,1,2,2,2,0,0,0,1,7
com.sk89q.worldguard.bukkit.listener.debounce.legacy,BlockEntityEventDebounce$Key,hashCode,1,0,1,2,21.0,6.0,54.284212515144276,12.0,651.4105501817313,0.018094737505048093,0,7,14,3,2,0,0,0,1,4
com.sk89q.worldguard.bukkit.listener.debounce.legacy,BlockEntityEventDebounce$Key,BlockEntityEventDebounce$Key,1,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,0,1,0,0,1,1
com.sk89q.worldguard.bukkit.listener.debounce.legacy,BlockEntityEventDebounce,BlockEntityEventDebounce,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,2
com.sk89q.worldguard.bukkit.listener.debounce.legacy,BlockEntityEventDebounce,debounce,1,4,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7,2,0,0,0,1,2
com.sk89q.worldguard.bukkit.listener.debounce.legacy,AbstractEventDebounce$1,AbstractEventDebounce$1,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0,0,1
com.sk89q.worldguard.bukkit.listener.debounce.legacy,AbstractEventDebounce$1,load,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,1,1,1,1
com.sk89q.worldguard.bukkit.listener.debounce.legacy,AbstractEventDebounce$1,load,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1,1,3,1
com.sk89q.worldguard.bukkit.listener.debounce.legacy,AbstractEventDebounce$Entry,AbstractEventDebounce$Entry,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,1
com.sk89q.worldguard.bukkit.listener.debounce.legacy,AbstractEventDebounce$Entry,setCancelled,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,0,0,0,1,2
com.sk89q.worldguard.bukkit.listener.debounce.legacy,AbstractEventDebounce$Entry,access$000,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,1
com.sk89q.worldguard.bukkit.listener.debounce.legacy,AbstractEventDebounce$Entry,access$002,1,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,2,1
com.sk89q.worldguard.bukkit.listener.debounce.legacy,AbstractEventDebounce,AbstractEventDebounce,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,7,0,0,0,0,7
com.sk89q.worldguard.bukkit.listener.debounce.legacy,AbstractEventDebounce,debounce,4,3,5,6,6.0,5.0,13.931568569324174,1.0,13.931568569324174,0.004643856189774725,1,2,4,8,7,0,0,0,1,9
com.sk89q.worldguard.bukkit.listener.debounce.legacy,AbstractEventDebounce,getEntry,3,2,3,4,3.0,3.0,4.754887502163469,0.0,0.0,0.0015849625007211565,1,1,2,7,4,0,0,0,1,6
com.sk89q.worldguard.bukkit.listener.debounce.legacy,InventoryMoveItemEventDebounce$Key,InventoryMoveItemEventDebounce$Key,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,5,1,0,0,1,5
com.sk89q.worldguard.bukkit.listener.debounce.legacy,InventoryMoveItemEventDebounce$Key,transform,3,1,1,1,2.0,1.0,0.0,0.0,0.0,0.0,3,2,0,5,3,0,0,0,1,5
com.sk89q.worldguard.bukkit.listener.debounce.legacy,InventoryMoveItemEventDebounce$Key,equals,13,1,2,3,3.0,3.0,4.754887502163469,0.0,0.0,0.0015849625007211565,1,1,2,2,2,0,0,0,1,10
